                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.5697,                 1.5963,                 1.8011,                0.68031,                0.40858,                0.50898,                0.31694,                 1.3904,                 1.4557,                 1.7114,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5814,                 1.5779,                 1.7994,                0.70014,                  0.416,                0.51244,                0.31402,                 1.4615,                 1.5123,                 1.7667,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.574,                 1.5979,                 1.7881,                 0.6808,                  0.448,                0.54327,                0.31691,                 1.4465,                 1.4433,                 1.7421,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5705,                 1.5761,                 1.7894,                0.67226,                  0.456,                0.55268,                0.33349,                 1.4374,                  1.431,                 1.7437,               0.000515,               0.000515,               0.000515
                     78,                 1.5495,                 1.5629,                 1.7749,                0.63354,                0.51173,                 0.5569,                0.33363,                  1.495,                 1.4452,                  1.802,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6027,                 1.6028,                 1.7936,                0.59706,                0.49788,                0.53478,                0.31561,                 1.5151,                 1.4052,                 1.7905,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5571,                 1.6003,                 1.8079,                 0.6048,                  0.496,                0.57206,                0.34142,                 1.4947,                 1.4011,                 1.7722,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5768,                   1.58,                 1.8156,                0.74493,                  0.456,                0.56486,                 0.3308,                 1.4461,                 1.3775,                 1.7169,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5603,                 1.5609,                 1.7754,                  0.778,                  0.448,                0.53156,                0.31888,                 1.3987,                 1.4839,                 1.7091,               0.000416,               0.000416,               0.000416
                     83,                   1.51,                 1.5321,                 1.7703,                0.61387,                0.50875,                0.56502,                0.33505,                 1.3837,                  1.443,                  1.694,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5519,                 1.5557,                 1.7814,                0.70764,                   0.44,                0.54974,                0.32714,                 1.3908,                 1.4088,                  1.708,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5174,                 1.5112,                 1.7407,                0.69164,                  0.488,                0.56422,                0.33787,                 1.4521,                 1.4258,                 1.7407,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4925,                 1.4718,                 1.7362,                0.85301,                  0.472,                 0.5871,                0.35373,                  1.404,                  1.343,                 1.7021,              0.0003368,              0.0003368,              0.0003368
